# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.g3|e4 d5 exd5 Qxd5 Nc3 Qa5 g3
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qd8|e4 d5 exd5 Qxd5 Nc3 Qd8
B01|İskandinav Savunması|2...Qxd5 3.Nf3|e4 d5 exd5 Qxd5 Nf3
B01|İskandinav Savunması|2...Qxd5 3.Nf3 Nf6|e4 d5 exd5 Qxd5 Nf3 Nf6
B01|İskandinav Savunması|2...Qxd5 3.d4|e4 d5 exd5 Qxd5 d4
B01|İskandinav Savunması|2...Qxd5 3.d4 Nf6|e4 d5 exd5 Qxd5 d4 Nf6
B01|İskandinav Savunması|2...Qxd5 3.d4 e5|e4 d5 exd5 Qxd5 d4 e5
B01|İskandinav Savunması|2...Qxd5, 5.Bc4|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Bc4
B01|İskandinav Savunması|2...Qxd5, 5.Bc4 c6|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Bc4 c6
B01|İskandinav Savunması|2...Qxd5, 5.Bd2|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Bd2
B01|İskandinav Savunması|2...Qxd5, 5.Bd2 c6|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Bd2 c6
B01|İskandinav Savunması|2...Qxd5, 5.Nf3|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3
B01|İskandinav Savunması|2...Qxd5, 5.Nf3 Bf5|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Bf5
B01|İskandinav Savunması|2...Qxd5, 5.Nf3 Bf5 6.Bc4|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Bf5 Bc4
B01|İskandinav Savunması|2...Qxd5, 5.Nf3 Bg4|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Bg4
B01|İskandinav Savunması|2...Qxd5, Main Line|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6
B01|İskandinav Savunması|2...Qxd5, Main Line, 6.Bc4|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6 Bc4
B01|İskandinav Savunması|2...Qxd5, Main Line, 6.Bc4 Bf5|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6 Bc4 Bf5
B01|İskandinav Savunması|2...Qxd5, Main Line, 6.Bc4 Bf5 7.Bd2|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6 Bc4 Bf5 Bd2
B01|İskandinav Savunması|2...Qxd5, Main Line, 6.Bc4 Bf5 7.Bd2 e6|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6 Bc4 Bf5 Bd2 e6
B01|İskandinav Savunması|2...Qxd5, Main Line, 6.Bc4 Bg4|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6 Bc4 Bg4
B01|İskandinav Savunması|2...Qxd5, Main Line, 8.Nd5|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6 Bc4 Bf5 Bd2 e6 Nd5
B01|İskandinav Savunması|2...Qxd5, Main Line, 8.Qe2|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6 Bc4 Bf5 Bd2 e6 Qe2
B01|İskandinav Savunması|2...Qxd5, Main Line, 8.Qe2 Bb4|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6 Bc4 Bf5 Bd2 e6 Qe2 Bb4
