# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Açılış adları kaynaktaki gibi, İngilizce.
B02|Alekhine: Scandinavian|Exchange (3...Nxd5)|e4 Nf6 Nc3 d5 exd5 Nxd5
B02|Alekhine: Scandinavian|Geschev Gambit|e4 Nf6 Nc3 d5 exd5 c6
B02|Alekhine: Scandinavian|Exchange, 4.Bc4|e4 Nf6 Nc3 d5 exd5 Nxd5 Bc4
B02|Alekhine: Scandinavian|Exchange, 4.Nf3|e4 Nf6 Nc3 d5 exd5 Nxd5 Nf3
B02|Alekhine: Scandinavian|Exchange, 4.Nxd5 (4 hamle)|e4 Nf6 Nc3 d5 exd5 Nxd5 Nxd5
B02|Alekhine: Scandinavian|Exchange, 4.Bc4 Nb6|e4 Nf6 Nc3 d5 exd5 Nxd5 Bc4 Nb6
B02|Alekhine: Scandinavian|Exchange, 4.Bc4 e6|e4 Nf6 Nc3 d5 exd5 Nxd5 Bc4 e6
B02|Alekhine: Scandinavian|Exchange, 4.Nxd5 (4...Qxd5)|e4 Nf6 Nc3 d5 exd5 Nxd5 Nxd5 Qxd5
B02|Alekhine: Scandinavian Variation|Ana Hat (2 hamle)|e4 Nf6 Nc3
B02|Alekhine: Scandinavian Variation|Ana Hat (2...d5)|e4 Nf6 Nc3 d5
B02|Alekhine: Sämisch Attack|Ana Hat|e4 Nf6 e5 Nd5 Nc3
B02|Alekhine: Sämisch Attack|3...Nxc3|e4 Nf6 e5 Nd5 Nc3 Nxc3
B02|Alekhine: Sämisch Attack|3...Nxc3 4.dxc3|e4 Nf6 e5 Nd5 Nc3 Nxc3 dxc3
B02|Alekhine: Two Pawns Attack|5.Bc4|e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Bc4
B02|Alekhine: Two Pawns Attack|5.Nc3|e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Nc3
B02|Alekhine: Two Pawns Attack|Mikenas Variation|e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Bc4 e6 Nc3 d6
A00|Amar|Paris Gambit|Nh3 d5 g3 e5 f4
A00|Amar/Paris Opening|Ana Hat|Nh3
A00|Anderssen Opening|Ana Hat|a3
A00|Barnes Opening|Ana Hat|f3
B00|Basman's Creepy-Crawly System (as Black)|Ana Hat|e4 a6 d4 h6
A57|Benko Gambit|Ana Hat|d4 Nf6 c4 c5 d5 b5
A57|Benko Gambit|4.Nd2|d4 Nf6 c4 c5 d5 b5 Nd2
A57|Benko Gambit|4.Nf3|d4 Nf6 c4 c5 d5 b5 Nf3
A57|Benko Gambit|4.a4|d4 Nf6 c4 c5 d5 b5 a4
A57|Benko Gambit|4.cxb5|d4 Nf6 c4 c5 d5 b5 cxb5
A57|Benko Gambit|4.Nf3 Bb7|d4 Nf6 c4 c5 d5 b5 Nf3 Bb7
A57|Benko Gambit|4.Nf3 bxc4|d4 Nf6 c4 c5 d5 b5 Nf3 bxc4
A57|Benko Gambit|4.Nf3 g6|d4 Nf6 c4 c5 d5 b5 Nf3 g6
A57|Benko Gambit|4.cxb5 a6|d4 Nf6 c4 c5 d5 b5 cxb5 a6
A57|Benko Gambit|4.Nf3 Bb7 5.a4|d4 Nf6 c4 c5 d5 b5 Nf3 Bb7 a4
A57|Benko Gambit|4.Nf3 g6 5.cxb5|d4 Nf6 c4 c5 d5 b5 Nf3 g6 cxb5
A57|Benko Gambit|4.cxb5 a6 5.b6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 b6
A57|Benko Gambit|4.cxb5 a6 5.e3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 e3
A57|Benko Gambit|4.cxb5 a6 5.f3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 f3
A58|Benko Gambit|5.bxa6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6
A57|Benko Gambit|Zaitsev Variation|d4 Nf6 c4 c5 d5 b5 cxb5 a6 Nc3
A57|Benko Gambit|4.Nf3 g6 5.cxb5 a6|d4 Nf6 c4 c5 d5 b5 Nf3 g6 cxb5 a6
A57|Benko Gambit|4.cxb5 a6 5.b6 Qxb6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 b6 Qxb6
A57|Benko Gambit|4.cxb5 a6 5.b6 d6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 b6 d6
A57|Benko Gambit|4.cxb5 a6 5.b6 e6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 b6 e6
A57|Benko Gambit|4.cxb5 a6 5.e3 g6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 e3 g6
A57|Benko Gambit|4.cxb5 a6 5.f3 axb5|d4 Nf6 c4 c5 d5 b5 cxb5 a6 f3 axb5
A57|Benko Gambit|4.cxb5 a6 5.f3 e6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 f3 e6
A58|Benko Gambit|5.bxa6 Bxa6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6
A58|Benko Gambit|5.bxa6 g6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 g6
A57|Benko Gambit|4.cxb5 a6 5.e3 g6 6.Nc3 Bg7|d4 Nf6 c4 c5 d5 b5 cxb5 a6 e3 g6 Nc3 Bg7
A57|Benko Gambit|4.cxb5 a6 5.e3 g6 6.Nc3 d6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 e3 g6 Nc3 d6
A58|Benko Gambit|Fianchetto Variation (8 hamle)|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3
A59|Benko Gambit|7.e4 Bxf1 8.Kxf1 g6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6
A58|Benko Gambit|Fianchetto Variation (8...Bg7)|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7
A59|Benko Gambit: 7.e4|Ana Hat|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4
A59|Benko Gambit: 7.e4|Main Line|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3
